今日はまして、母の悲しがらるることは,尊敬,自発,可能,受身,使役,る,尊敬
興に入られ侍りき,尊敬,受身,完了,自発,過去,る,尊敬
なお便宜あらば、告げられよ,尊敬,自発,受身,命令,完了,らる,尊敬
源三位入道とて、今年は七十五にぞなられける,尊敬,可能,推定,推量,自発,る,尊敬
今日は都のみぞ思いやらるる,自発,受身,尊敬,可能,完了,る,自発
いにしえのことも立ち返り恋しう思い出でらるる,自発,尊敬,可能,存続,完了,る,自発
いとめでたかりけることこそ推し量らるれ,自発,受身,尊敬,推量,当然,る,推量
住みなれしふるさとかぎりなく思ひ出でらる,自発,尊敬,可能,推量,意志,らる,自発
御胸つとふたがりて、つゆまどろまれず,可能,自発,完了,尊敬,存続,る,可能
涙のこぼるるに目も見えず、ものも言はれず,可能,推量,完了,存続,尊敬,る,可能
はしたなきまでおぼゆれば、目も見合はせられず,可能,尊敬,完了,過去,自発,らる,可能
物に襲わるる心地して、,受身,過去,推量,完了,自発,る,受身
袖を引き放ちて逃げられにけり,受身,尊敬,意志,自発,可能,らる,尊敬
人のそしりをもえはばからせ給はず,尊敬,受身,断定,当然,使役,す,尊敬
右近の内侍に琵琶ひかせて,使役,尊敬,命令,打消,過去,す,使役
女どもを、番に降りて守らす,使役,可能,命令,完了,尊敬,す,使役
妻の嫗に預けて養はす,使役,尊敬,過去,完了,命令,す,使役
三室戸斎部の秋田を呼びつけさす,使役,推量,完了,尊敬,存在,さす,使役
関白殿、黒戸より出でさせ給ふとて,尊敬,受身,使役,命令,伝聞,さす,尊敬
何によりてか目を喜ばしむる,使役,尊敬,自発,可能,完了,しむ,尊敬
「こはいかにせしめたまふぞ」といひて,尊敬,比況,受身,過去,使役,しむ,使役
おほやけも行幸せしめ給う,尊敬,使役,受身,自発,打消,しむ,使役
君がため惜しからざりし命さへ,打消,打消推量,禁止,婉曲,完了,ず,婉曲
目には見えぬものの、戸を押し開けて,打消,推量,強意,禁止,打消意志,ず,打消
月ごろは、つゆ人にけしき見せず,打消,比況,強意,完了,打消推量,ず,打消
一、二年のうちに来たらぬことはよもあらじ,打消,完了,意志,仮定,強意,ず,打消
つれづれわぶる人はいかなる心あらむ,推量,婉曲,仮定,完了,意志,む,推量
われても末に会はむとぞ思ふ,意志,推量,婉曲,仮定,勧誘,む,意思
「取りて参らむ。」とて立ちぬ,意志,勧誘,仮定,推量,当然,む,意思
「いかにして物を食はせん。」,意志,可能,推量,婉曲,勧誘,む,意思
翁申さむこと、聞き給いてむや,勧誘,意志,婉曲,仮定,当然,む,婉曲
まろ、この歌の返しせむ,意志,推量,適当,婉曲,完了,む,意思
少納言よ。香炉峰の雪いかならむ,推量,意志,適当,命令,推定,む,推量
ただ帰らむは、いとさうざうし,仮定,婉曲,推量,意志,当然,む,婉曲
火数多く見えば、敵恐れて用心してんず,推量,意志,適当,命令,婉曲,む,推量
悪道へおもむかんずる事のかなしさよ,婉曲,勧誘,推量,可能,適当,む,婉曲
子といふ物なくてありなん,適当,意志,推量,完了,強意,む,強意
煩はしき事になりなんず,推量,意志,打消,適当,可能,む,打消
夢と知りせば覚めざらましを,反実仮想,ためらいの意志,推量,希望,自発,まし,反実仮想
春のうちならましかば、いかにをしからまし,反実仮想,比況,希望,実現不可能な希望,断定,まし,反実仮想
やがてかけこもらましかば、口惜しからまし,反実仮想,推量,実現不可能な希望,希望,ためらいの意志,まし,反実仮想
鏡に色形あらまほしかば、映らざらまし,反実仮想,希望,推量,ためらいの意志,過去,まし,反実仮想
桜花ほかの散りなむのちぞ咲かまし,実現不可能な希望,ためらいの意志,比況,反実仮想,打消,まし,実権不可能な希望
その聞きつらむ所にて、きとこそは詠ましか,実現不可能な希望,過去,希望,反実仮想,ためらいの意志,まし,ためらいの意思
とくいそぎ立ちたらましかばと思ふ,実現不可能な希望,反実仮想,ためらいの意志,推定,打消推量,まし,ためらいの意思
たしかにその車をぞ見まし,実現不可能な希望,推量,意志,反実仮想,命令,まし,実現不可能な意思
これに何を書かまし,ためらいの意志,実現不可能な希望,推量,希望,反実仮想,まし,ためらいの意思
迎えやせましと思し乱る,ためらいの意志,反実仮想,過去,完了,希望,まし,希望
あはれ、かれもいづち遣らまし,ためらいの意志,意志,反実仮想,使役,実現不可能な希望,まし,ためらいの意思
よに逢坂の関は許さじ,打消推量,打消意志,禁止,不適当,打消,じ,禁止
身幸ひあらば、この雨はふらじ,打消推量,禁止,意志,打消意志,過去,じ,打消意思
いくばくも生けらじものを,打消推量,不可能,適当,意志,打消意志,じ,不可能
我は三巻、四巻だにもえ読み果てじ,不可能,ためらいの意志,打消意志,婉曲,不適当,じ,不可能
我が身は女なりとも、敵の手にはかかるまじ,打消意志,推量,打消,推定,打消推量,じ,打消意思
われはよめとも言はじ,打消意志,打消推量,ためらいの意志,不可能,婉曲,じ,ためらいの意思
千年もあらまほしき御有様なるや,希望,比況,反実仮想,推量,適当,まほし,比況
け近く聞かまほしからず,希望,反実仮想,禁止,推量,強意,まほし,反実仮想
いかなる人なりけん、尋ね聞かまほし,希望,推量,当然,伝聞,受身,まほし,希望
あるいは己が行かまほしき所へ往ぬ,希望,反実仮想,推量,勧誘,推定,まほし,希望
いつみきとてか恋しかるらむ,過去,推量,強意,適当,自発,き,推量
手を折りてあひ見しことをかぞふれば,過去,完了,存続,自発,適当,き,過去
乱れそめにし我ならなくに,過去,婉曲,受身,伝聞,詠嘆,き,過去
一京まかり歩きしかども侍らざりしに,過去,詠嘆,勧誘,推量,受身,き,過去
昔、紀の有常といふ人ありけり,過去,伝聞,存在,断定,完了,けり,過去
比叡山に児ありけり,過去,断定,完了,詠嘆,推量,けり,過去
今は昔、竹取の翁といふものありけり,過去,詠嘆,完了,断定,推量,けり,過去
その国にある女をよばひけり,過去,完了,詠嘆,推定,命令,けり,過去
いとうつくしう生ひなりにけり,詠嘆,過去推量,伝聞,過去,断定,けり,過去
龍田の川の錦なりけり,詠嘆,過去,受身,婉曲,意志,けり,過去
都ぞ春の錦なりける,詠嘆,伝聞,過去,推量,意志,けり,過去
犬なども、かかる心あるものなりけり,詠嘆,推量,婉曲,過去,断定,けり,過去
暮るるままに思いわびつる心地,完了,強意,自発,推量,並列,つ,完了
秋田、なよ竹のかぐや姫と、つけつ,完了,過去,断定,命令,存続,つ,強意
こはいかなる物を食はせつるぞ,完了,強意,意志,断定,命令,つ,強意
楊貴妃のためしもひき出でつべくなりゆくに,強意,完了,断定,並列,過去,つ,強意
うち出で、笑ひもしつべし,強意,完了,断定,推量,自発,つ,強意
落ち入る兵千余人、浮きぬ沈みぬ流れ行く,並列,強意,存続,断定,完了,つ,並列
手洗ひ、例のことどもして、昼になりぬ,完了,並列,強意,過去,断定,ぬ,完了
祭主、「とく立ちね。」と言ひけり,完了,強意,伝聞,打消,断定,ぬ,強意
三河国八橋といふ所に至りぬ,完了,過去,断定,伝聞,強意,ぬ,完了
潮満ちぬ。風も吹きぬべし,強意,推量,完了,受身,詠嘆,ぬ,完了
浮きぬ沈みぬ揺られければ,並列,強意,自発,存在,過去,ぬ,強意
女の兄人、にはかに迎へに来たり,完了,存続,強意,断定,過去,たり,完了
よろしう詠みたりと思う歌を、,完了,存続,断定,推量,希望,たり,完了
燕の、巣くひたらば告げよ,完了,希望,推量,完了,断定,たり,完了
また新手の武者五十騎ばかり出できたり,完了,推量,意志,存続,断定,たり,完了
人の書を借りたらむには,存続,完了,断定,並列,強意,たり,完了
かきつばたいとおもしろく咲きたり,存続,断定,完了,過去,存在,たり,存続
心ぼそく住みなしたる庵あり,存続,完了,希望,存在,意志,たり,存続
あやしがりて、寄りて見るに、筒の中光りたり,存続,自発,存在,完了,適当,たり,存続
御本意にはあらざりけめど,過去推量,伝聞,過去,過去の伝聞・婉曲,現在推量,けむ,過去の伝聞
いかにわびしき心地しけむ,過去推量,推量,過去の伝聞・婉曲,過去の原因推量,詠嘆,けむ,過去婉曲
昔こそ難波田舎と言はれけめ、,過去推量,過去の伝聞・婉曲,仮定,断定,現在推量,けむ,過去の伝聞
いかばかり心のうち涼しかりけん,過去推量,仮定,過去の原因推量,過去の伝聞・婉曲,過去,けむ,過去推量
参りたる人ごとに山に登りしは、何事かありけむ,過去の原因推量,過去推量,婉曲,推量,過去,けむ,過去推量
などれからしと思ひけむ,過去の原因推量,過去の伝聞・婉曲,推量,過去,過去推量,けむ,過去推量
これを聞きけむ人、いかに憎み笑ひけむ,過去の伝聞・婉曲,断定,過去推量,推定,過去の原因推量,けむ,過去推量
昔、こはたといひけむが孫といふ,過去の伝聞・婉曲,過去,推定,希望,過去推量,けむ,過去の伝聞
生まれけむ年は知りたりや,過去の伝聞・婉曲,過去推量,過去の原因推量,過去,仮定,けむ,過去推量
敵に会うことこそ死にたけれ,希望,推量,婉曲,反実仮想,命令,たし,婉曲
屋島へ帰りたくは、返し入れ奉れ,希望,婉曲,推量,仮定,命令,たし,婉曲
悪所におちては死にたからず,希望,可能,完了,存続,過去推量,たし,過去推量
昼つ方には来たるべし,意志,当然,断定,推量,可能,べし,当然
尽くしてこれを知るべからず,可能,意志,断定,命令,婉曲,べし,可能
恐るべかりけるは、ただの地震なりけり,当然,適当,推量,推定,可能,べし,推定
然らば汝、法を説くべし,命令,意志,受身,婉曲,禁止,べし,命令
思ひ嘆けど、すべき方もなし,適当,当然,意志,可能,断定,べし,当然
憶良らは今は罷らむ子泣くらむ,現在推量,伝聞・婉曲,意志,推定,過去推量,らむ,現在推量
春霞なに隠すらむ桜花,現在の原因推量,婉曲,現在推量,比況,推定,らむ,現在推量
天女といふらむ人のごとく身をかざりたり,現在の伝聞・婉曲,現在推量,推定,現在の原因推量,意志,らむ,現在推量
露けさは秋の野辺にもまさるらし,推定,推量,可能,伝聞・婉曲,完了,らし,現在推量
かかる見えぬもののあめるは,推定,強意,婉曲,完了,断定,めり,推定
「丑四つ」と奏すなり,推定,尊敬,断定,伝聞,完了,なり,推定
部屋のほうに去ぬなり,推定,伝聞,完了,過去,意志,なり,伝聞
秋の野に人まつ虫の声すなり,推定,完了,過去,可能,伝聞,なり,伝聞
山ほととぎす今ぞ啼く鳴くなる,推定,意志,伝聞,存在,命令,なり,伝聞
なかなか初めのをぞし給ふなる,伝聞,婉曲,断定,存在,推定,なり,断定
また聞けば、むすめなくなりたまひぬなり,伝聞,推量,過去,断定,完了,なり,断定
奥山に猫又といふものありて、人をくらふなる,伝聞,完了,打消推量,推量,可能,なり,伝聞
男もすなる日記といふものを,伝聞,断定,存在,推量,過去,なり,伝聞
その人ならば、苦しかるまじ,打消推量,過去推量,不可能,完了,過去,まじ,打消推量
人はたやすく通ふまじからむところに,打消推量,打消意志,推量,当然,当然,まじ,当然
かの国の人聞き知るまじくおもほえたれども,打消推量,不可能,打消意志,完了,過去,まじ,打消意思
ただ今は見るまじ,打消意志,打消推量,過去,命令,推量,まじ,打消意思
えとどむまじければ,不可能,打消意志,不適当,推量,意志,まじ,不可能
女のえ得まじかりけるを,不可能,可能,打消当然,断定,打消推量,まじ,打消当然
さる人あるまじければ,打消当然,打消推量,存続,不適当,禁止,まじ,不適当
いとあるまじきことなり,打消当然,不可能,禁止,打消推量,打消意志,まじ,打消推量
夢を人に聞かすまじきなり,禁止,断定,打消意志,不適当,不可能,まじ,禁止
よき一言いふものなり,断定,存在,推定,意志,存続,なり,断定
その人は、わが兄にやあらむ,断定,存続,存在,完了,受身,なり,断定
その人は、わが兄にて、おやぶんと言う者あり,断定,過去,婉曲,伝聞,推量,なり,断定
女もしてみむとてするなり,断定,完了,伝聞,婉曲,過去,なり,断定
壺なる御薬奉れ,存在,断定,例示,比喩,仮定,なり,断定
御前なる人々、一人二人づつ失せて,存在,伝聞,推量,強意,並列,なり,強意
比叡の山の麓なれば、雪いと高し,存在,仮定,推量,断定,受身,なり,断定
その男のもとなりける人を、,存在,推量,断定,伝聞,婉曲,なり,推量
為朝、康弘、蔵人たるべき由、仰せける,断定,存在,強意,存続,受身,たり,断定
清盛、嫡男たるによって、そのあとを継ぐ,断定,強意,存続,比喩,類似,たり,存続
清盛公いまだ安芸守たりし時,断定,過去,完了,受身,仮定,たり,断定
具平新王家の作文の序者たりけるに,断定,存在,意志,可能,伝聞,たり,存在
詠めりければ、船こぞりて泣きにけり,完了,過去,存続,意志,受身,り,過去
家を出で世を背けり,完了,過去,伝聞,受身,仮定,り,完了
馬のはなむけしにいでませり,完了,断定,意志,推量,存続,り,完了
童と腹立ちたまへるか,完了,意志,過去,伝聞,存続,り,存続
曽良は河合氏にして惣五郎といへり,存続,存在,断定,過去,完了,り,存続
道知れる人もなくて惑ひ行きにけり,存続,完了,推定,可能,伝聞,り,完了
その女、世人にはまされりけり,存続,伝聞,過去,完了,推量,り,過去
かうてありと聞き給へらむを,存続,推量,伝聞,仮定,完了,り,存続
われまたかくのごとし,比況,受身,例示,希望,婉曲,ごとし,例示
扇を広げたるがごとく末広になりぬ,比況,婉曲,仮定,推量,例示,ごとし,比況
ただ春の夜の夢のごとし,比況,例示,希望,仮定,推量,ごとし,比況
花の散りぬるごときわが王かも,比況,比喩,適当,例示,伝聞,ごとし,比喩
往生要集ごとき抄物を入れたり,例示,比況,完了,強意,適当,ごとし,比況
例えがごとく、百万の財を得れば能事おわれりと為す,例示,推量,仮定,比況,当然,ごとし,比況
いも、栗ごときものを,例示,比喩,比況,並列,適当,ごとし,例示
犬、馬のごときもの,例示,並列,比喩,仮定,適当,ごとし,比喩
